"ID","ContinentID","ParentAreaID","AreaBit","Flags","SoundProviderPref","SoundProviderPrefUnderWater","AmbienceID","ZoneMusic","IntroSound","ExplorationLevel","AreaName_enUS","AreaName_enGB","AreaName_koKR","AreaName_frFR","AreaName_deDE","AreaName_enCN","AreaName_zhCN","AreaName_enTW","AreaName_Mask","FactionGroupMask","LiquidTypeID","MinElevation","AmbientMultiplier","LightID"
"1","0","0","119","65","0","11","42","8","0","0","Dun Morogh","","","","","","","","4128894","2","0","0","0","0"
"2","0","40","120","64","0","11","0","9","0","0","Longshore","","","","","","","","4128894","0","0","0","0","0"
"3","0","0","121","64","0","11","25","7","0","0","Badlands","","","","","","","","8323198","0","0","0","0","0"
"4","0","0","122","64","0","11","210","7","0","0","Blasted Lands","","","","","","","","4128894","0","0","0","0","0"
"7","0","33","123","64","0","11","0","3","0","0","Blackwater Cove","","","","","","","","8323198","0","0","0","0","0"
"8","0","0","124","64","0","11","33","223","0","0","Swamp of Sorrows","","","","","","","","4128894","0","0","0","0","0"
"9","0","12","125","64","0","11","35","1","0","0","Northshire Valley","","","","","","","","4128894","0","0","0","0","0"
"10","0","0","617","64","0","11","40","2","0","0","Duskwood","","","","","","","","8323198","0","0","0","0","0"
"11","0","0","618","64","0","11","44","227","0","0","Wetlands","","","","","","","","4128894","0","0","0","0","0"
"12","0","0","126","64","0","11","35","1","0","0","Elwynn Forest","","","","","","","","4128894","2","0","0","0","0"
"13","0","10","555","64","0","11","48","11","0","0","The World Tree","","","","","","","","8323198","0","0","0","0","0"
"14","1","0","127","64","0","11","25","9","0","0","Durotar","","","","","","","","4128894","4","0","0","0","0"
"15","1","0","128","64","0","11","33","227","0","0","Dustwallow Marsh","","","","","","","","4128894","0","0","0","0","0"
"16","1","0","129","64","0","11","31","205","0","0","Azshara","","","","","","","","4128894","0","0","0","0","0"
"17","1","0","130","64","0","11","38","7","0","0","The Barrens","","","","","","","","4128894","4","0","0","0","0"
"18","0","12","131","64","0","11","35","1","0","7","Crystal Lake","","","","","","","","8323198","0","0","0","0","0"
"19","0","33","574","64","0","11","32","3","0","40","Zul'Gurub","","","","","","","","4128894","0","0","0","0","0"
"20","0","40","132","64","0","11","0","9","0","14","Moonbrook","","","","","","","","8323198","0","0","0","0","0"
"21","0","0","133","64","0","11","0","8","0","0","Kul Tiras","","","","","","","","8323198","0","0","0","0","0"
"22","451","0","547","64","0","11","38","505","0","0","Programmer Isle","","","","","","","","8323198","0","0","0","0","0"
"23","0","12","134","64","0","11","35","0","0","0","Northshire River","","","","","","","","4128894","0","0","0","0","0"
"24","0","12","135","64","73","11","35","1","67","0","Northshire Abbey","","","","","","","","4128894","0","0","0","0","0"
"25","0","0","136","64","0","11","46","10","0","0","Blackrock Mountain","","","","","","","","4128894","0","0","0","0","0"
"26","0","40","602","64","0","11","0","7","0","0","Lighthouse","","","","","","","","4128894","0","0","0","0","0"
"28","0","0","137","64","0","11","37","205","0","0","Western Plaguelands","","","","","","","","8323198","0","0","0","0","0"
"30","0","0","138","64","0","11","0","0","0","0","Nine","","","","","","","","8323198","0","0","0","0","0"
"32","0","10","139","64","0","11","0","2","0","0","The Cemetary","","","","","","","","8323198","0","0","0","0","0"
"33","0","0","140","64","0","11","32","3","0","0","Stranglethorn Vale","","","","","","","","4128894","0","0","0","0","0"
"34","0","12","141","64","0","11","35","1","0","0","Echo Ridge Mine","","","","","","","","4128894","0","0","0","0","0"
"35","0","33","142","64","0","11","0","3","0","42","Booty Bay","","","","","","","","4128894","0","0","0","0","0"
"36","0","0","143","64","0","11","31","1","0","0","Alterac Mountains","","","","","","","","4128894","0","0","0","0","0"
"37","0","33","144","64","0","11","0","3","0","36","Lake Nazferiti","","","","","","","","8323198","0","0","0","0","0"
"38","0","0","145","64","0","11","31","1","0","0","Loch Modan","","","","","","","","4128894","2","0","0","0","0"
"40","0","0","146","64","0","11","47","9","0","0","Westfall","","","","","","","","4128894","2","0","0","0","0"
"41","0","0","556","64","0","11","49","2","0","0","Deadwind Pass","","","","","","","","8323198","0","0","0","0","0"
"42","0","10","147","64","0","11","0","2","0","25","Darkshire","","","","","","","","8323198","0","0","0","0","0"
"43","0","33","148","64","0","11","0","3","0","42","Wild Shore","","","","","","","","4128894","0","0","0","0","0"
"44","0","0","149","64","0","11","31","1","0","0","Redridge Mountains","","","","","","","","4128894","0","0","0","0","0"
"45","0","0","150","64","0","11","30","8","0","0","Arathi Highlands","","","","","","","","4128894","0","0","0","0","0"
"46","0","0","151","64","0","11","46","10","0","0","Burning Steppes","","","","","","","","8323198","0","0","0","0","0"
"47","0","0","152","64","0","11","31","1","0","0","The Hinterlands","","","","","","","","4128894","0","0","0","0","0"
"49","0","22","153","64","0","11","0","0","0","0","Dead Man's Hole","","","","","","","","8323198","0","0","0","0","0"
"51","0","0","154","64","0","11","46","10","0","0","Searing Gorge","","","","","","","","4128894","0","0","0","0","0"
"53","0","12","155","64","0","11","35","1","0","0","Thieves Camp","","","","","","","","8323198","0","0","0","0","0"
"54","0","12","550","64","0","11","35","1","0","8","Jasperlode Mine","","","","","","","","4128894","0","0","0","0","0"
"55","0","12","156","64","0","11","35","17","0","0","Valley of Heroes UNUSED","","","","","","","","4128894","0","0","0","0","0"
"56","0","12","157","64","0","11","35","1","303","0","Heroes' Vigil","","","","","","","","4128894","0","0","0","0","0"
"57","0","12","158","64","0","11","35","1","0","5","Fargodeep Mine","","","","","","","","4128894","0","0","0","0","0"
"59","0","12","159","64","0","11","35","1","0","0","Northshire Vineyards","","","","","","","","4128894","0","0","0","0","0"
"60","0","12","606","64","0","11","35","1","0","8","Forest's Edge","","","","","","","","4128894","0","0","0","0","0"
"61","0","12","160","64","0","11","35","1","0","0","Thunder Falls","","","","","","","","8323198","0","0","0","0","0"
"62","0","12","161","64","0","11","35","1","0","8","Brackwell Pumpkin Patch","","","","","","","","4128894","0","0","0","0","0"
"63","0","12","162","64","0","11","35","1","0","6","The Stonefield Farm","","","","","","","","4128894","0","0","0","0","0"
"64","0","12","163","64","0","11","35","1","0","6","The Maclure Vineyards","","","","","","","","4128894","0","0","0","0","0"
"65","0","0","164","68","0","11","0","0","0","0","***On Map Dungeon***","","","","","","","","8323198","0","0","0","0","0"
"66","1","0","165","68","0","11","0","0","0","0","***On Map Dungeon***","","","","","","","","8323198","0","0","0","0","0"
"67","17","0","166","68","0","11","0","0","0","0","***On Map Dungeon***","","","","","","","","8323198","0","0","0","0","0"
"68","0","44","557","64","0","11","0","1","0","16","Lake Everstill","","","","","","","","4128894","0","0","0","0","0"
"69","0","44","167","64","0","11","0","1","0","15","Lakeshire","","","","","","","","8323198","0","0","0","0","0"
"70","0","44","168","64","0","11","0","1","0","24","Stonewatch","","","","","","","","8323198","0","0","0","0","0"
"71","0","44","627","64","0","11","0","1","0","20","Stonewatch Falls","","","","","","","","8323198","0","0","0","0","0"
"72","0","4","169","64","0","11","210","7","0","63","The Dark Portal","","","","","","","","4128894","0","0","0","0","0"
"73","0","4","170","64","0","11","0","7","0","50","The Tainted Scar","","","","","","","","4128894","0","0","0","0","0"
"74","0","8","171","64","0","11","0","0","0","43","Pool of Tears","","","","","","","","8323198","0","0","0","0","0"
"75","0","8","172","64","0","11","0","0","0","37","Stonard","","","","","","","","8323198","0","0","0","0","0"
"76","0","8","173","64","0","11","0","0","0","37","Fallow Sanctuary","","","","","","","","8323198","0","0","0","0","0"
"77","0","1","174","64","0","11","0","8","0","0","Anvilmar","","","","","","","","4128894","0","0","0","0","0"
"80","0","12","175","64","0","11","35","17","0","10","Stormwind Mountains","","","","","","","","4128894","2","0","0","0","0"
"81","451","22","575","64","0","11","0","0","0","0","Jeff NE Quadrant Changed","","","","","","","","4128894","0","0","0","0","0"
"82","451","22","176","64","0","11","0","0","0","0","Jeff NW Quadrant","","","","","","","","8323198","0","0","0","0","0"
"83","451","22","177","64","0","11","0","0","0","0","Jeff SE Quadrant","","","","","","","","8323198","0","0","0","0","0"
"84","451","22","178","64","0","11","0","0","0","0","Jeff SW Quadrant","","","","","","","","8323198","0","0","0","0","0"
"85","0","0","179","64","0","11","40","2","0","0","Tirisfal Glades","","","","","","","","4128894","4","0","0","0","0"
"86","0","12","180","64","0","11","35","1","0","8","Stone Cairn Lake","","","","","","","","8323198","0","0","0","0","0"
"87","0","12","548","64","0","11","35","1","0","5","Goldshire","","","","","","","","8323198","0","0","0","0","0"
"88","0","12","181","64","0","11","35","1","0","6","Eastvale Logging Camp","","","","","","","","4128894","0","0","0","0","0"
"89","0","12","182","64","0","11","35","1","0","0","Mirror Lake Orchard","","","","","","","","8323198","0","0","0","0","0"
"91","0","12","183","64","0","11","35","1","0","8","Tower of Azora","","","","","","","","4128894","0","0","0","0","0"
"92","0","12","558","64","0","11","35","1","0","0","Mirror Lake","","","","","","","","8323198","0","0","0","0","0"
"93","0","10","628","64","0","11","0","214","0","28","Vul'Gol Ogre Mound","","","","","","","","8323198","0","0","0","0","0"
"94","0","10","184","64","0","11","0","2","0","24","Raven Hill","","","","","","","","8323198","0","0","0","0","0"
"95","0","44","185","64","0","11","0","1","0","20","Redridge Canyons","","","","","","","","8323198","0","0","0","0","0"
"96","0","44","186","64","0","11","0","1","0","25","Tower of Ilgalar","","","","","","","","8323198","0","0","0","0","0"
"97","0","44","187","64","0","11","0","1","0","19","Alther's Mill","","","","","","","","8323198","0","0","0","0","0"
"98","0","44","188","64","0","11","0","1","0","17","Rethban Caverns","","","","","","","","8323198","0","0","0","0","0"
"99","0","33","189","64","0","11","0","3","0","30","Rebel Camp","","","","","","","","8323198","0","0","0","0","0"
"100","0","33","585","64","0","11","0","3","0","31","Nesingwary's Expedition","","","","","","","","8323198","0","0","0","0","0"
"101","0","33","190","64","0","11","0","3","0","32","Kurzen's Compound","","","","","","","","8323198","0","0","0","0","0"
"102","0","33","586","64","0","11","0","3","0","41","Ruins of Zul'Kunda","","","","","","","","8323198","0","0","0","0","0"
"103","0","33","191","64","0","11","0","3","0","40","Ruins of Zul'Mamwe","","","","","","","","8323198","0","0","0","0","0"
"104","0","33","192","64","0","11","0","3","0","37","The Vile Reef","","","","","","","","8323198","0","0","0","0","0"
"105","0","33","193","64","0","11","0","3","0","42","Mosh'Ogg Ogre Mound","","","","","","","","8323198","0","0","0","0","0"
"106","0","33","194","64","0","11","0","3","0","0","The Stockpile","","","","","","","","8323198","0","0","0","0","0"
"107","0","40","195","64","0","11","0","9","0","14","Saldean's Farm","","","","","","","","8323198","0","0","0","0","0"
"108","0","40","196","64","0","11","0","9","0","15","Sentinel Hill","","","","","","","","8323198","0","0","0","0","0"
